,Country,Year,GDP,Life expectancy at birth
67,Afghanistan,2017,71812409356.584,63.0
136,Albania,2017,30815266945.320004,79.0
205,Algeria,2017,586904591722.04,75.7
274,Angola,2017,246092688424.107,61.7
343,Argentina,2017,845888540682.096,76.8
383,Armenia,2017,30970175040.162003,74.9
452,Australia,2017,1211457976915.968,83.0
521,Austria,2017,371055286042.89,81.6
561,Azerbaijan,2017,166405554989.683,72.2
630,Bahrain,2017,59287308223.45999,79.7
699,Bangladesh,2017,620811601126.691,71.8
768,Barbados,2017,3367446221.303,76.9
808,Belarus,2017,175842459293.49,74.5
877,Belgium,2017,448004356888.524,81.4
946,Benin,2017,24835363784.378,59.9
1015,Bolivia,2017,74575350308.736,67.7
1082,Bosnia and Herzegovina,2017,34638420130.875,76.9
1151,Botswana,2017,36982286450.64,66.8
1220,Brazil,2017,2908977799936.0,74.8
1289,Bulgaria,2017,127586481513.98999,74.8
1358,Burkina Faso,2017,30352926200.542,59.5
1427,Burundi,2017,7488937439.1048,61.6
1496,Cambodia,2017,54226376907.9912,70.5
1565,Cameroon,2017,69527220720.7314,60.8
1634,Canada,2017,1630018148084.16,82.0
1703,Cape Verde,2017,3715703140.337,76.6
1772,Central African Republic,2017,3031506275.4547,53.7
1841,Chad,2017,31172677674.1566,52.3
1910,Chile,2017,397687019152.726,80.4
1979,China,2017,17958358685232.0,77.2
2048,Colombia,2017,645883128397.376,76.6
2117,Comoros,2017,1304621811.4768,63.6
2186,Congo,2017,30530193142.613804,63.8
2255,Costa Rica,2017,72264875250.673,79.4
2324,Cote d'Ivoire,2017,88430094520.9144,58.5
2391,Croatia,2017,89015994056.948,78.1
2460,Cuba,2017,92298103989.3985,77.5
2529,Cyprus,2017,31959843362.249,81.3
2578,Czechia,2017,315915838791.77,79.0
2647,Democratic Republic of Congo,2017,70695247635.505,59.4
2716,Denmark,2017,260791519323.73,81.1
2785,Djibouti,2017,3295952476.3676,62.8
2854,Dominica,2017,622672873.284,67.5
2923,Dominican Republic,2017,159910321269.192,73.1
2992,Ecuador,2017,177610050293.319,77.0
3061,Egypt,2017,1182760883792.192,71.3
3130,El Salvador,2017,52815613174.491005,72.3
3199,Equatorial Guinea,2017,45041177223.084,60.8
3239,Estonia,2017,34591222527.55,78.0
3308,Eswatini,2017,9168905913.336,57.9
3377,Ethiopia,2017,189705413597.9864,64.8
3446,Finland,2017,211328613997.75998,81.5
3515,France,2017,2430740366340.0,82.5
3584,Gabon,2017,38444891638.15,66.2
3653,Gambia,2017,4332358840.3711,63.0
3693,Georgia,2017,43115593578.496,73.6
3762,Germany,2017,3769305995160.45,80.9
3831,Ghana,2017,124018760977.89598,64.0
3900,Greece,2017,245484202329.83,80.9
3969,Guatemala,2017,121161739108.501,72.6
4038,Guinea,2017,19126326519.3534,59.1
4107,Guinea-Bissau,2017,2787737782.049,60.1
4176,Haiti,2017,18746204504.2944,63.9
4245,Honduras,2017,47569122459.708496,72.7
4314,Hong Kong,2017,372468033248.8,84.9
4383,Hungary,2017,238360287653.46,76.0
4452,Iceland,2017,14769083309.994,82.5
4521,India,2017,8733361499672.81,70.5
4590,Indonesia,2017,3005911463762.9,69.9
4659,Iran,2017,1494624871469.4001,76.0
4728,Iraq,2017,523445512280.028,70.4
4797,Ireland,2017,288908813645.22003,81.9
4866,Israel,2017,268713794235.552,82.7
4935,Italy,2017,2041777086000.0642,82.7
5004,Jamaica,2017,20038353047.3236,71.9
5073,Japan,2017,4865721048142.9795,84.2
5142,Jordan,2017,117419474895.768,75.5
5182,Kazakhstan,2017,449755472149.664,71.4
5251,Kenya,2017,159075444168.408,62.5
5320,Kuwait,2017,272285449277.52002,79.8
5360,Kyrgyzstan,2017,30948603649.023,70.6
5429,Laos,2017,43151139776.47,67.4
5469,Latvia,2017,45221402676.216995,74.8
5538,Lebanon,2017,78691975728.155,79.7
5607,Lesotho,2017,5905510558.5392,53.1
5676,Liberia,2017,3974540599.1624,60.6
5745,Libya,2017,82971335464.815,72.5
5785,Lithuania,2017,75972346376.66,75.4
5854,Luxembourg,2017,33857077869.5,81.7
5923,Madagascar,2017,36626260115.04,65.1
5992,Malawi,2017,20004938467.7292,63.0
6061,Malaysia,2017,768734109558.756,75.5
6130,Mali,2017,31465137494.2108,59.1
6199,Malta,2017,14817691748.51,83.6
6268,Mauritania,2017,14274950342.3448,65.1
6337,Mauritius,2017,25275434232.912,74.9
6406,Mexico,2017,2003341326811.096,74.1
6446,Moldova,2017,20416183779.16,70.5
6515,Mongolia,2017,39529579673.928,70.2
6582,Montenegro,2017,11743805430.720001,76.9
6651,Morocco,2017,294557001526.424,73.7
6720,Mozambique,2017,32130803966.832798,59.8
6789,Myanmar,2017,289490562905.0472,65.8
6858,Namibia,2017,21725405342.699997,62.3
6927,Nepal,2017,73277680262.5024,68.9
6996,Netherlands,2017,802729040831.816,81.7
7065,New Zealand,2017,165530082315.34998,82.2
7134,Nicaragua,2017,33789432990.125996,73.6
7203,Niger,2017,20333032404.9736,62.2
7272,Nigeria,2017,1019944481415.34,52.3
7368,North Macedonia,2017,26934560522.13,76.5
7437,Norway,2017,443598571381.05597,82.6
7506,Oman,2017,168510621873.102,77.9
7575,Pakistan,2017,1166768515550.0251,66.3
7644,Palestine,2017,24774358057.0662,74.8
7713,Panama,2017,90961407736.29001,77.8
7782,Paraguay,2017,57921822937.928,73.6
7851,Peru,2017,377765385457.2,75.9
7920,Philippines,2017,830543945691.9,71.5
7989,Poland,2017,1004210037157.824,77.7
8058,Portugal,2017,271075524598.648,81.5
8127,Puerto Rico,2017,119302781053.621,79.3
8196,Qatar,2017,419425907468.92,80.7
8265,Romania,2017,377397698202.72003,76.0
8324,Russia,2017,3497062329042.9,73.4
8393,Rwanda,2017,22248010258.5033,65.9
8462,Saint Lucia,2017,1849708948.9250002,73.1
8531,Sao Tome and Principe,2017,774155880.84,68.3
8600,Saudi Arabia,2017,1709722266266.56,77.2
8669,Senegal,2017,38192724203.5094,67.8
8736,Serbia,2017,100691367211.34999,76.2
8805,Seychelles,2017,2807773501.664,73.8
8874,Sierra Leone,2017,12623827581.846,58.7
8943,Singapore,2017,388128981793.67,83.2
8977,Slovakia,2017,141947857161.864,77.2
9044,Slovenia,2017,59154160951.28,81.1
9113,South Africa,2017,690419929601.97,65.4
9182,South Korea,2017,1910732337522.5999,83.3
9251,Spain,2017,1439829116460.4,83.0
9320,Sri Lanka,2017,245567599467.264,75.4
9389,Sweden,2017,454557230849.722,82.4
9458,Switzerland,2017,508550237390.72003,83.4
9527,Syria,2017,61532615787.84599,68.5
9596,Taiwan,2017,1029518479451.204,80.1
9636,Tajikistan,2017,37531004197.4037,69.9
9705,Tanzania,2017,155458539311.616,66.0
9774,Thailand,2017,1136655416733.36,78.4
9843,Togo,2017,11133887674.655901,60.2
9912,Trinidad and Tobago,2017,42224158427.256004,74.2
9981,Tunisia,2017,131913255874.101,75.8
10050,Turkey,2017,1559363772911.68,77.1
10090,Turkmenistan,2017,149625201267.396,68.9
10159,Uganda,2017,79928965899.6296,62.1
10199,Ukraine,2017,423546468256.06,74.7
10266,United Arab Emirates,2017,695026021119.5,79.5
10335,United Kingdom,2017,2496115485212.3003,81.2
10404,United States,2017,17811288897857.098,78.8
10473,Uruguay,2017,68163948032.085,77.6
10513,Uzbekistan,2017,343220105198.88,71.0
10582,Venezuela,2017,393630541033.05,71.9
10651,Vietnam,2017,603888371555.52,74.0
10730,Yemen,2017,69737555671.7868,66.0
10799,Zambia,2017,60501365840.9808,62.1
10868,Zimbabwe,2017,23341643635.1862,60.7
